"time","Q"
4850,-36.8495
4860,-36.893
4870,-36.9363
4880,-36.9793
4890,-37.0222
4900,-37.0652
4910,-37.1082
4920,-37.151
4930,-37.1938
4940,-37.2362
4950,-37.2787
4960,-37.3212
4970,-37.3635
4980,-37.4057
4990,-37.448
5000,-37.49
5010,-37.532
5020,-37.574
5030,-37.6157
5040,-37.6575
5050,-37.699
5060,-37.7405
5070,-37.782
5080,-37.8235
5090,-37.8648
5100,-37.9057
5110,-37.947
5120,-37.988
5130,-38.029
5140,-38.0697
5150,-38.1105
5160,-38.1512
5170,-38.1917
5180,-38.2323
5190,-38.2727
5200,-38.313
5210,-38.3532
5220,-38.3932
5230,-38.4335
5240,-38.4735
5250,-38.5132
5260,-38.5532
5270,-38.5927
5280,-38.6325
5290,-38.672
5300,-38.7115
5310,-38.751
5320,-38.7903
5330,-38.8295
5340,-38.8685
5350,-38.9078
5360,-38.9468
5370,-38.9855
5380,-39.0242
5390,-39.063
5400,-39.1017
5410,-39.1403
5420,-39.1788
5430,-39.2172
5440,-39.2555
5450,-39.2937
5460,-39.3317
5470,-39.37
5480,-39.408
5490,-39.4457
5500,-39.4838
5510,-39.5215
5520,-39.559
5530,-39.5968
5540,-39.6343
5550,-39.6715
5560,-39.709
5570,-39.7462
5580,-39.7835
5590,-39.8205
5600,-39.8575
5610,-39.8945
5620,-39.9315
5630,-39.9682
5640,-40.005
5650,-40.0415
5660,-40.078
5670,-40.1145
5680,-40.151
5690,-40.1872
5700,-40.2235
5710,-40.2597
5720,-40.2957
5730,-40.3317
5740,-40.3678
5750,-40.4037
5760,-40.4395
5770,-40.475
5780,-40.5108
5790,-40.5463
5800,-40.5817
5810,-40.6172
5820,-40.6525
5830,-40.6878
5840,-40.723
5850,-40.758
5860,-40.793
5870,-40.828
5880,-40.863
5890,-40.8977
5900,-40.9325
5910,-40.967
5920,-41.0018
5930,-41.0362
5940,-41.0705
5950,-41.105
5960,-41.1392
5970,-41.1735
5980,-41.2075
5990,-41.2417
6000,-41.2757
6010,-41.3095
6020,-41.3435
6030,-41.3772
6040,-41.411
6050,-41.4445
6060,-41.478
6070,-41.5115
6080,-41.545
6090,-41.5782
6100,-41.6115
6110,-41.6447
6120,-41.678
6130,-41.711
6140,-41.744
6150,-41.7767
6160,-41.8098
6170,-41.8425
6180,-41.8753
6190,-41.9078
6200,-41.9402
6210,-41.9727
6220,-42.0052
6230,-42.0375
6240,-42.0697
6250,-42.102
6260,-42.1343
6270,-42.1662
6280,-42.1983
6290,-42.2302
6300,-42.262
6310,-42.294
6320,-42.3255
6330,-42.3573
6340,-42.3888
6350,-42.4205
6360,-42.4517
6370,-42.4832
6380,-42.5145
6390,-42.5457
6400,-42.577
6410,-42.608
6420,-42.639
6430,-42.67
6440,-42.701
6450,-42.7317
6460,-42.7627
6470,-42.7933
6480,-42.824
6490,-42.8545
6500,-42.885
6510,-42.9155
6520,-42.946
6530,-42.9762
6540,-43.0065
6550,-43.0367
6560,-43.0667
6570,-43.0968
6580,-43.1268
