"time","rate_c_sugar"
7780,-0.000635066
7790,-0.000635034
7800,-0.000635002
7810,-0.00063497
7820,-0.000634939
7830,-0.000634907
7840,-0.000634875
7850,-0.000634843
7860,-0.000634811
7870,-0.00063478
7880,-0.000634748
7890,-0.000634716
7900,-0.000634684
7910,-0.000634652
7920,-0.000634621
7930,-0.000634589
7940,-0.000634557
7950,-0.000634525
7960,-0.000634494
7970,-0.000634462
7980,-0.00063443
7990,-0.000634398
8000,-0.000634367
8010,-0.000634335
8020,-0.000634303
8030,-0.000634271
8040,-0.00063424
8050,-0.000634208
8060,-0.000634176
8070,-0.000634144
8080,-0.000634113
8090,-0.000634081
8100,-0.000634049
8110,-0.000634017
8120,-0.000633986
8130,-0.000633954
8140,-0.000633922
8150,-0.00063389
8160,-0.000633859
8170,-0.000633827
8180,-0.000633795
8190,-0.000633764
8200,-0.000633732
8210,-0.0006337
8220,-0.000633668
8230,-0.000633637
8240,-0.000633605
8250,-0.000633573
8260,-0.000633542
8270,-0.00063351
8280,-0.000633478
8290,-0.000633446
8300,-0.000633415
8310,-0.000633383
8320,-0.000633351
8330,-0.00063332
8340,-0.000633288
8350,-0.000633256
8360,-0.000633225
8370,-0.000633193
8380,-0.000633161
8390,-0.00063313
8400,-0.000633098
8410,-0.000633066
8420,-0.000633035
8430,-0.000633003
8440,-0.000632971
8450,-0.00063294
8460,-0.000632908
8470,-0.000632876
8480,-0.000632845
8490,-0.000632813
8500,-0.000632781
8510,-0.00063275
8520,-0.000632718
8530,-0.000632686
8540,-0.000632655
8550,-0.000632623
8560,-0.000632592
8570,-0.00063256
8580,-0.000632528
8590,-0.000632497
8600,-0.000632465
8610,-0.000632433
8620,-0.000632402
8630,-0.00063237
8640,-0.000632339
8650,-0.000632307
8660,-0.000632275
8670,-0.000632244
8680,-0.000632212
8690,-0.000632181
8700,-0.000632149
8710,-0.000632117
8720,-0.000632086
8730,-0.000632054
8740,-0.000632023
8750,-0.000631991
8760,-0.000631959
8770,-0.000631928
8780,-0.000631896
8790,-0.000631865
8800,-0.000631833
8810,-0.000631802
8820,-0.00063177
8830,-0.000631738
8840,-0.000631707
8850,-0.000631675
8860,-0.000631644
8870,-0.000631612
8880,-0.000631581
8890,-0.000631549
8900,-0.000631517
8910,-0.000631486
8920,-0.000631454
8930,-0.000631423
8940,-0.000631391
8950,-0.00063136
8960,-0.000631328
8970,-0.000631297
8980,-0.000631265
8990,-0.000631234
9000,-0.000631202
9010,-0.00063117
9020,-0.000631139
9030,-0.000631107
9040,-0.000631076
9050,-0.000631044
9060,-0.000631013
9070,-0.000630981
9080,-0.00063095
9090,-0.000630918
9100,-0.000630887
9110,-0.000630855
9120,-0.000630824
9130,-0.000630792
9140,-0.000630761
9150,-0.000630729
9160,-0.000630698
9170,-0.000630666
9180,-0.000630635
9190,-0.000630603
9200,-0.000630572
9210,-0.00063054
9220,-0.000630509
9230,-0.000630477
9240,-0.000630446
9250,-0.000630414
9260,-0.000630383
9270,-0.000630351
9280,-0.00063032
9290,-0.000630289
9300,-0.000630257
9310,-0.000630226
9320,-0.000630194
9330,-0.000630163
9340,-0.000630131
9350,-0.0006301
9360,-0.000630068
9370,-0.000630037
9380,-0.000630005
9390,-0.000629974
9400,-0.000629943
9410,-0.000629911
9420,-0.00062988
9430,-0.000629848
9440,-0.000629817
9450,-0.000629785
9460,-0.000629754
9470,-0.000629723
9480,-0.000629691
9490,-0.00062966
9500,-0.000629628
9510,-0.000629597
9520,-0.000629565
9530,-0.000629534
9540,-0.000629503
9550,-0.000629471
9560,-0.00062944
9570,-0.000629408
9580,-0.000629377
9590,-0.000629346
9600,-0.000629314
9610,-0.000629283
9620,-0.000629251
9630,-0.00062922
9640,-0.000629189
9650,-0.000629157
9660,-0.000629126
9670,-0.000629094
9680,-0.000629063
9690,-0.000629032
9700,-0.000629
9710,-0.000628969
9720,-0.000628938
9730,-0.000628906
9740,-0.000628875
9750,-0.000628843
9760,-0.000628812
9770,-0.000628781
9780,-0.000628749
9790,-0.000628718
9800,-0.000628687
9810,-0.000628655
9820,-0.000628624
9830,-0.000628593
9840,-0.000628561
9850,-0.00062853
9860,-0.000628499
9870,-0.000628467
9880,-0.000628436
9890,-0.000628405
9900,-0.000628373
9910,-0.000628342
9920,-0.000628311
9930,-0.000628279
9940,-0.000628248
9950,-0.000628217
9960,-0.000628185
9970,-0.000628154
9980,-0.000628123
9990,-0.000628091
10000,-0.00062806
10010,-0.000628029
10020,-0.000627998
10030,-0.000627966
10040,-0.000627935
10050,-0.000627904
10060,-0.000627872
10070,-0.000627841
10080,-0.00062781
10090,-0.000627778
10100,-0.000627747
10110,-0.000627716
10120,-0.000627685
10130,-0.000627653
10140,-0.000627622
10150,-0.000627591
10160,-0.00062756
10170,-0.000627528
10180,-0.000627497
10190,-0.000627466
10200,-0.000627434
10210,-0.000627403
10220,-0.000627372
10230,-0.000627341
10240,-0.000627309
10250,-0.000627278
10260,-0.000627247
10270,-0.000627216
10280,-0.000627184
10290,-0.000627153
10300,-0.000627122
10310,-0.000627091
10320,-0.000627059
10330,-0.000627028
10340,-0.000626997
10350,-0.000626966
10360,-0.000626935
10370,-0.000626903
10380,-0.000626872
10390,-0.000626841
10400,-0.00062681
10410,-0.000626778
10420,-0.000626747
10430,-0.000626716
10440,-0.000626685
10450,-0.000626654
10460,-0.000626622
10470,-0.000626591
10480,-0.00062656
10490,-0.000626529
10500,-0.000626498
10510,-0.000626466
10520,-0.000626435
10530,-0.000626404
10540,-0.000626373
10550,-0.000626342
10560,-0.00062631
10570,-0.000626279
10580,-0.000626248
10590,-0.000626217
10600,-0.000626186
10610,-0.000626155
10620,-0.000626123
10630,-0.000626092
10640,-0.000626061
10650,-0.00062603
10660,-0.000625999
10670,-0.000625968
10680,-0.000625936
10690,-0.000625905
10700,-0.000625874
10710,-0.000625843
10720,-0.000625812
10730,-0.000625781
10740,-0.00062575
10750,-0.000625718
10760,-0.000625687
10770,-0.000625656
10780,-0.000625625
10790,-0.000625594
10800,-0.000625563
10810,-0.000625532
10820,-0.000625501
10830,-0.000625469
10840,-0.000625438
10850,-0.000625407
10860,-0.000625376
10870,-0.000625345
10880,-0.000625314
10890,-0.000625283
10900,-0.000625252
10910,-0.000625221
10920,-0.000625189
10930,-0.000625158
10940,-0.000625127
10950,-0.000625096
10960,-0.000625065
10970,-0.000625034
10980,-0.000625003
10990,-0.000624972
11000,-0.000624941
11010,-0.00062491
11020,-0.000624879
11030,-0.000624847
11040,-0.000624816
11050,-0.000624785
11060,-0.000624754
11070,-0.000624723
11080,-0.000624692
11090,-0.000624661
11100,-0.00062463
11110,-0.000624599
11120,-0.000624568
11130,-0.000624537
11140,-0.000624506
11150,-0.000624475
11160,-0.000624444
11170,-0.000624413
11180,-0.000624382
11190,-0.000624351
11200,-0.000624319
11210,-0.000624288
11220,-0.000624257
11230,-0.000624226
11240,-0.000624195
11250,-0.000624164
11260,-0.000624133
11270,-0.000624102
11280,-0.000624071
11290,-0.00062404
11300,-0.000624009
11310,-0.000623978
11320,-0.000623947
11330,-0.000623916
11340,-0.000623885
11350,-0.000623854
11360,-0.000623823
11370,-0.000623792
11380,-0.000623761
11390,-0.00062373
11400,-0.000623699
11410,-0.000623668
11420,-0.000623637
11430,-0.000623606
11440,-0.000623575
11450,-0.000623544
11460,-0.000623513
11470,-0.000623482
11480,-0.000623451
11490,-0.00062342
11500,-0.000623389
11510,-0.000623358
11520,-0.000623327
11530,-0.000623296
11540,-0.000623265
11550,-0.000623234
11560,-0.000623204
11570,-0.000623173
11580,-0.000623142
11590,-0.000623111
11600,-0.00062308
11610,-0.000623049
11620,-0.000623018
11630,-0.000622987
11640,-0.000622956
11650,-0.000622925
11660,-0.000622894
11670,-0.000622863
11680,-0.000622832
11690,-0.000622801
11700,-0.00062277
11710,-0.000622739
11720,-0.000622708
11730,-0.000622678
11740,-0.000622647
11750,-0.000622616
11760,-0.000622585
11770,-0.000622554
11780,-0.000622523
11790,-0.000622492
11800,-0.000622461
11810,-0.00062243
11820,-0.000622399
11830,-0.000622368
11840,-0.000622338
11850,-0.000622307
11860,-0.000622276
11870,-0.000622245
11880,-0.000622214
11890,-0.000622183
11900,-0.000622152
11910,-0.000622121
11920,-0.00062209
11930,-0.00062206
11940,-0.000622029
11950,-0.000621998
11960,-0.000621967
11970,-0.000621936
11980,-0.000621905
11990,-0.000621874
12000,-0.000621843
12010,-0.000621813
12020,-0.000621782
12030,-0.000621751
12040,-0.00062172
12050,-0.000621689
12060,-0.000621658
12070,-0.000621627
12080,-0.000621597
12090,-0.000621566
12100,-0.000621535
12110,-0.000621504
12120,-0.000621473
12130,-0.000621442
12140,-0.000621412
12150,-0.000621381
12160,-0.00062135
12170,-0.000621319
12180,-0.000621288
12190,-0.000621257
12200,-0.000621227
12210,-0.000621196
12220,-0.000621165
12230,-0.000621134
12240,-0.000621103
12250,-0.000621073
12260,-0.000621042
12270,-0.000621011
12280,-0.00062098
12290,-0.000620949
12300,-0.000620919
12310,-0.000620888
12320,-0.000620857
12330,-0.000620826
12340,-0.000620795
12350,-0.000620765
12360,-0.000620734
12370,-0.000620703
12380,-0.000620672
12390,-0.000620641
12400,-0.000620611
12410,-0.00062058
12420,-0.000620549
12430,-0.000620518
12440,-0.000620488
12450,-0.000620457
12460,-0.000620426
12470,-0.000620395
12480,-0.000620365
12490,-0.000620334
12500,-0.000620303
12510,-0.000620272
12520,-0.000620242
12530,-0.000620211
12540,-0.00062018
12550,-0.000620149
12560,-0.000620119
12570,-0.000620088
12580,-0.000620057
12590,-0.000620026
12600,-0.000619996
12610,-0.000619965
12620,-0.000619934
12630,-0.000619903
12640,-0.000619873
12650,-0.000619842
12660,-0.000619811
12670,-0.000619781
12680,-0.00061975
12690,-0.000619719
12700,-0.000619688
12710,-0.000619658
12720,-0.000619627
12730,-0.000619596
12740,-0.000619566
12750,-0.000619535
12760,-0.000619504
12770,-0.000619474
12780,-0.000619443
12790,-0.000619412
12800,-0.000619381
12810,-0.000619351
12820,-0.00061932
12830,-0.000619289
12840,-0.000619259
12850,-0.000619228
12860,-0.000619197
12870,-0.000619167
12880,-0.000619136
12890,-0.000619105
12900,-0.000619075
12910,-0.000619044
12920,-0.000619013
12930,-0.000618983
12940,-0.000618952
12950,-0.000618921
12960,-0.000618891
12970,-0.00061886
12980,-0.000618829
12990,-0.000618799
13000,-0.000618768
13010,-0.000618738
13020,-0.000618707
13030,-0.000618676
13040,-0.000618646
13050,-0.000618615
13060,-0.000618584
13070,-0.000618554
13080,-0.000618523
13090,-0.000618492
13100,-0.000618462
13110,-0.000618431
13120,-0.000618401
13130,-0.00061837
13140,-0.000618339
13150,-0.000618309
13160,-0.000618278
13170,-0.000618248
13180,-0.000618217
13190,-0.000618186
13200,-0.000618156
13210,-0.000618125
13220,-0.000618095
13230,-0.000618064
13240,-0.000618033
13250,-0.000618003
13260,-0.000617972
13270,-0.000617942
13280,-0.000617911
13290,-0.00061788
13300,-0.00061785
13310,-0.000617819
13320,-0.000617789
13330,-0.000617758
13340,-0.000617728
13350,-0.000617697
13360,-0.000617666
13370,-0.000617636
13380,-0.000617605
13390,-0.000617575
13400,-0.000617544
13410,-0.000617514
13420,-0.000617483
13430,-0.000617453
13440,-0.000617422
13450,-0.000617391
13460,-0.000617361
13470,-0.00061733
13480,-0.0006173
13490,-0.000617269
13500,-0.000617239
13510,-0.000617208
13520,-0.000617178
13530,-0.000617147
13540,-0.000617117
13550,-0.000617086
13560,-0.000617056
13570,-0.000617025
13580,-0.000616995
13590,-0.000616964
13600,-0.000616933
13610,-0.000616903
13620,-0.000616872
13630,-0.000616842
13640,-0.000616811
13650,-0.000616781
13660,-0.00061675
13670,-0.00061672
13680,-0.000616689
13690,-0.000616659
13700,-0.000616628
13710,-0.000616598
13720,-0.000616567
13730,-0.000616537
13740,-0.000616507
13750,-0.000616476
13760,-0.000616446
13770,-0.000616415
13780,-0.000616385
13790,-0.000616354
13800,-0.000616324
13810,-0.000616293
13820,-0.000616263
13830,-0.000616232
13840,-0.000616202
13850,-0.000616171
13860,-0.000616141
13870,-0.00061611
13880,-0.00061608
13890,-0.00061605
13900,-0.000616019
13910,-0.000615989
13920,-0.000615958
13930,-0.000615928
13940,-0.000615897
13950,-0.000615867
13960,-0.000615836
13970,-0.000615806
13980,-0.000615776
13990,-0.000615745
14000,-0.000615715
14010,-0.000615684
14020,-0.000615654
14030,-0.000615623
14040,-0.000615593
14050,-0.000615563
